,strDrink,strCategory,strGlass,strIngredients,Alc_type,Basic_taste,strInstructions,strMeasures,Value_ml,Value_gr,Garnish_amount,Garnish_type
86,A True Amaretto Sour,Cocktail,Old-fashioned glass,Lemon,,sour,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",juice of 1/2,22.5,,,
87,A True Amaretto Sour,Cocktail,Old-fashioned glass,Maraschino Cherry,,sweet,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",,,,1,berry
88,A True Amaretto Sour,Cocktail,Old-fashioned glass,Amaretto,Sweet Liqueur,,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",1 jigger,44.0,,,
89,A midsummernight dream,Ordinary Drink,Collins Glass,Strawberries,,sweet,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",5,150.0,,,
90,A midsummernight dream,Ordinary Drink,Collins Glass,Strawberry Liqueur,Sweet Liqueur,,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",1 tsp,,4.0,,
91,A midsummernight dream,Ordinary Drink,Collins Glass,Kirschwasser,Brandy,,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",1 oz,30.0,,,
92,A midsummernight dream,Ordinary Drink,Collins Glass,Schweppes Russchian,,bitter,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",,,,,
93,A midsummernight dream,Ordinary Drink,Collins Glass,Vodka,Vodka,,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",2 oz,60.0,,,
94,A. J.,Ordinary Drink,Cocktail glass,Grapefruit Juice,,bitter,"Shake ingredients with ice, strain into a cocktail glass, and serve.",1 oz,30.0,,,
95,A. J.,Ordinary Drink,Cocktail glass,Applejack,Brandy,,"Shake ingredients with ice, strain into a cocktail glass, and serve.",1 1/2 oz,45.0,,,
96,A.D.M. (After Dinner Mint),Cocktail,Irish coffee cup,Hot Chocolate,,cream,shake vigorously,fill with,,,0,top up
97,A.D.M. (After Dinner Mint),Cocktail,Irish coffee cup,Southern Comfort,Whisky,,shake vigorously,3/4 oz,22.5,,,
98,A.D.M. (After Dinner Mint),Cocktail,Irish coffee cup,Vodka,Vodka,,shake vigorously,1/2 oz,15.0,,,
99,A.D.M. (After Dinner Mint),Cocktail,Irish coffee cup,White Creme De Menthe,Sweet Liqueur,,shake vigorously,1/2 oz,15.0,,,
100,A1,Cocktail,Cocktail glass,Grenadine,,sweet,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",1/8 shot,3.125,,,
101,A1,Cocktail,Cocktail glass,Gin,Gin,,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",1 3/4 shot,43.75,,,
102,A1,Cocktail,Cocktail glass,Lemon Juice,,sour,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",1/4 shot,6.25,,,
103,A1,Cocktail,Cocktail glass,Grand Marnier,Triple Sec,,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",1 shot,25.0,,,
104,ABC,Shot,Shot glass,Amaretto,Sweet Liqueur,,Layered in a shot glass.,1/3,10.0,,,
105,ABC,Shot,Shot glass,Bailey'S Irish Cream,Creamy Liqueur,,Layered in a shot glass.,1/3,10.0,,,
106,ABC,Shot,Shot glass,Cognac,Brandy,,Layered in a shot glass.,1/3,10.0,,,
107,ACID,Shot,Shot glass,151 Proof Rum,Rum,,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,1 oz bacardi,30.0,,,
108,ACID,Shot,Shot glass,Wild Turkey,Whisky,,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,1 oz,30.0,,,
109,AT&T,Ordinary Drink,Highball Glass,Tonic Water,,water,"Pour Vodka and Gin over ice, add Tonic and Stir",4 oz,120.0,,,
110,AT&T,Ordinary Drink,Highball Glass,Gin,Gin,,"Pour Vodka and Gin over ice, add Tonic and Stir",1 oz,30.0,,,
111,AT&T,Ordinary Drink,Highball Glass,Absolut Vodka,Vodka,,"Pour Vodka and Gin over ice, add Tonic and Stir",1 oz,30.0,,,
112,Abbey Cocktail,Ordinary Drink,Cocktail glass,Orange,,sweet,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,juice of 1/4,18.75,,,
113,Abbey Cocktail,Ordinary Drink,Cocktail glass,Orange Bitters,Bitters,,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,1 dash,1.0,,,
114,Abbey Cocktail,Ordinary Drink,Cocktail glass,Cherry,,sweet,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,1,,,1,berry
115,Abbey Cocktail,Ordinary Drink,Cocktail glass,Gin,Gin,,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,1 1/2 oz,45.0,,,
116,Abbey Martini,Cocktail,Cocktail glass,Sweet Vermouth,Vermouth,,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",1 shot,25.0,,,
117,Abbey Martini,Cocktail,Cocktail glass,Orange Juice,,sweet,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",1 shot,25.0,,,
118,Abbey Martini,Cocktail,Cocktail glass,Angostura Bitters,Bitters,,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",3 dashes,3.0,,,
119,Abbey Martini,Cocktail,Cocktail glass,Gin,Gin,,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",2 shots,50.0,,,
120,Abilene,Ordinary Drink,Highball glass,Peach Nectar,,sweet,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,2 oz,60.0,,,
121,Abilene,Ordinary Drink,Highball glass,Orange Juice,,sweet,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,3 oz,90.0,,,
122,Abilene,Ordinary Drink,Highball glass,Dark Rum,Rum,,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,1 1/2 oz,45.0,,,
123,Absolut Evergreen,Other/Unknown,Collins Glass,Pisang Ambon,Sweet Liqueur,,"Mix, pour over ice and top up with Bitter Lemon.",1/3 part,10.0,,,
124,Absolut Evergreen,Other/Unknown,Collins Glass,Bitter Lemon,Bitters,,"Mix, pour over ice and top up with Bitter Lemon.",,,,,
125,Absolut Evergreen,Other/Unknown,Collins Glass,Absolut Citron,Vodka,,"Mix, pour over ice and top up with Bitter Lemon.",2/3 part,20.0,,,
126,Absolut Sex,Shot,Old-fashioned glass,Midori Melon Liqueur,Sweet Liqueur,,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",3/4 oz,22.5,,,
127,Absolut Sex,Shot,Old-fashioned glass,Sprite,,sweet,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",1 splash,6.0,,,
128,Absolut Sex,Shot,Old-fashioned glass,Cranberry Juice,,sour,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",1 oz,30.0,,,
129,Absolut Sex,Shot,Old-fashioned glass,Absolut Kurant,Vodka,,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",3/4 oz,22.5,,,
130,Absolut Stress #2,Ordinary Drink,Collins Glass,Pineapple Juice,,sweet,Mix well. Garnish with Orange and Cherry. Enjoy,1 1/2 oz,45.0,,,
131,Absolut Stress #2,Ordinary Drink,Collins Glass,Peach Schnapps,Schnapps,,Mix well. Garnish with Orange and Cherry. Enjoy,1/2 oz,15.0,,,
132,Absolut Stress #2,Ordinary Drink,Collins Glass,Coconut Liqueur,Sweet Liqueur,,Mix well. Garnish with Orange and Cherry. Enjoy,1/2 oz,15.0,,,
133,Absolut Stress #2,Ordinary Drink,Collins Glass,Cranberry Juice,,sour,Mix well. Garnish with Orange and Cherry. Enjoy,1 1/2 oz,45.0,,,
134,Absolut Stress #2,Ordinary Drink,Collins Glass,Absolut Vodka,Vodka,,Mix well. Garnish with Orange and Cherry. Enjoy,1 1/2 oz,45.0,,,
135,Absolut Summertime,Cocktail,Collins glass,Absolut Citron,Vodka,,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,1 1/2 oz,45.0,,,
136,Absolut Summertime,Cocktail,Collins glass,Sprite,,sweet,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,1/2 oz,15.0,,,
137,Absolut Summertime,Cocktail,Collins glass,Lemon,,sour,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,1 slice,,,1,slice
138,Absolut Summertime,Cocktail,Collins glass,Sweet And Sour,,sweet,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,3/4 oz,22.5,,,
