,strDrink,strCategory,strGlass,strIngredients,Alc_type,Basic_taste,strInstructions,strMeasures,Value_ml,Value_gr,Garnish_amount,Garnish_type
1486,San Francisco,Ordinary Drink,Highball glass,Creme De Banane,Sweet Liqueur,,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",2 cl,20.0,,,
1487,San Francisco,Ordinary Drink,Highball glass,Orange Juice,,sweet,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",,,,,
1488,San Francisco,Ordinary Drink,Highball glass,Grenadine,,sweet,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",,,,,
1489,San Francisco,Ordinary Drink,Highball glass,Vodka,Vodka,,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",2 cl,20.0,,,
1490,Sangria #1,Punch / Party Drink,Pitcher,Orange Juice,,sweet,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,1 cup,,128.0,,
1491,Sangria #1,Punch / Party Drink,Pitcher,Cinnamon,,spicy,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,,,,,
1492,Sangria #1,Punch / Party Drink,Pitcher,Cloves,,spicy,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,,,,,whole
1493,Sangria #1,Punch / Party Drink,Pitcher,Red Wine,Wine,,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,1 bottle,750.0,,,
1494,Sangria #1,Punch / Party Drink,Pitcher,Lemon Juice,,sour,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,1 cup,,128.0,,
1495,Sangria #1,Punch / Party Drink,Pitcher,Sugar,,sweet,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,1/2 cup,,64.0,,
1496,Sangria - The World's Best,Punch / Party Drink,Pitcher,Brandy Plain,Brandy,,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.",3-4 oz plain,105.0,,,
1497,Sangria - The World's Best,Punch / Party Drink,Pitcher,Red Wine,Wine,,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.",1 1/2 l,1500.0,,,
1498,Sangria - The World's Best,Punch / Party Drink,Pitcher,Orange,,sweet,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.",1 large,225.0,,,
1499,Sangria - The World's Best,Punch / Party Drink,Pitcher,Soda Water,,sweet,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.",,,,,
1500,Sangria - The World's Best,Punch / Party Drink,Pitcher,Apple,,sweet,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.",1 large,100.0,,,
1501,Sangria - The World's Best,Punch / Party Drink,Pitcher,Lemon,,sour,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.",1 large,45.0,,,
1502,Sangria - The World's Best,Punch / Party Drink,Pitcher,Sugar,,sweet,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.",1 cup,,128.0,,
1503,Sazerac,Ordinary Drink,Old-fashioned glass,Bourbon,Whisky,,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",2 oz,60.0,,,
1504,Sazerac,Ordinary Drink,Old-fashioned glass,Ricard,Sweet Liqueur,,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",1 tsp,,4.0,,
1505,Sazerac,Ordinary Drink,Old-fashioned glass,Water,,water,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",1 tsp,,4.0,,
1506,Sazerac,Ordinary Drink,Old-fashioned glass,Lemon Peel,,sour,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",1 twist of,,,1,twist
1507,Sazerac,Ordinary Drink,Old-fashioned glass,Peychaud Bitters,Bitters,,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",2 dashes,2.0,,,
1508,Sazerac,Ordinary Drink,Old-fashioned glass,Sugar Superfine,,sweet,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",1/2 tsp superfine,2.5,,,
1509,Scooter,Ordinary Drink,Cocktail glass,Light Cream,,cream,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",1 oz,30.0,,,
1510,Scooter,Ordinary Drink,Cocktail glass,Brandy,Brandy,,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",1 oz,30.0,,,
1511,Scooter,Ordinary Drink,Cocktail glass,Amaretto,Sweet Liqueur,,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",1 oz,30.0,,,
1512,Scotch Cobbler,Ordinary Drink,Old-fashioned glass,Curacao,Triple Sec,,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",4 dashes,4.0,,,
1513,Scotch Cobbler,Ordinary Drink,Old-fashioned glass,Mint,,mint,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",1,,,1,leaf(ves)
1514,Scotch Cobbler,Ordinary Drink,Old-fashioned glass,Brandy,Brandy,,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",4 dashes,4.0,,,
1515,Scotch Cobbler,Ordinary Drink,Old-fashioned glass,Scotch,Whisky,,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",2 oz,60.0,,,
1516,Scotch Cobbler,Ordinary Drink,Old-fashioned glass,Orange,,sweet,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",1 slice,,,1,slice
1517,Scotch Sour,Ordinary Drink,Whiskey sour glass,Powdered Sugar,,sweet,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",1/2 tsp,,2.0,,
1518,Scotch Sour,Ordinary Drink,Whiskey sour glass,Lime,,sour,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",juice of 1/2,15.0,,,
1519,Scotch Sour,Ordinary Drink,Whiskey sour glass,Lemon,,sour,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",1/2 slice,,,1/2,slice
1520,Scotch Sour,Ordinary Drink,Whiskey sour glass,Cherry,,sweet,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",1,,,1,berry
1521,Scotch Sour,Ordinary Drink,Whiskey sour glass,Scotch,Whisky,,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",1 1/2 oz,45.0,,,
1522,Screaming Orgasm,Ordinary Drink,Cocktail glass,Bailey'S Irish Cream,Creamy Liqueur,,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",1 1/2 oz,45.0,,,
1523,Screaming Orgasm,Ordinary Drink,Cocktail glass,Kahlua,Creamy Liqueur,,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",1/2 oz,15.0,,,
1524,Screaming Orgasm,Ordinary Drink,Cocktail glass,Vodka,Vodka,,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",1 oz,30.0,,,
1525,Screwdriver,Ordinary Drink,Highball glass,Orange Juice,,sweet,Mix in a highball glass with ice. Garnish and serve.,,,,,
1526,Screwdriver,Ordinary Drink,Highball glass,Vodka,Vodka,,Mix in a highball glass with ice. Garnish and serve.,2 oz,60.0,,,
1527,Sea breeze,Ordinary Drink,Highball glass,Vodka,Vodka,,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,1 1/2 oz,45.0,,,
1528,Sea breeze,Ordinary Drink,Highball glass,Grapefruit Juice,,bitter,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,1 oz,30.0,,,
1529,Sea breeze,Ordinary Drink,Highball glass,Cranberry Juice,,sour,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,4 oz,120.0,,,
1530,Sex on the Beach,Ordinary Drink,Highball glass,Grapefruit Juice,,bitter,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,,,,,
1531,Sex on the Beach,Ordinary Drink,Highball glass,Cranberry Juice,,sour,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,,,,,
1532,Sex on the Beach,Ordinary Drink,Highball glass,Peach Schnapps,Schnapps,,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,3/4 oz,22.5,,,
1533,Sex on the Beach,Ordinary Drink,Highball glass,Vodka,Vodka,,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,1 oz,30.0,,,
1534,Shanghai Cocktail,Ordinary Drink,Cocktail glass,Lemon,,sour,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",juice of 1/4,11.25,,,
1535,Shanghai Cocktail,Ordinary Drink,Cocktail glass,Grenadine,,sweet,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1/2 tsp,,2.0,,
1536,Shanghai Cocktail,Ordinary Drink,Cocktail glass,Light Rum Jamaican,Rum,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz jamaican,30.0,,,
1537,Shanghai Cocktail,Ordinary Drink,Cocktail glass,Anisette,,spicy,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 tsp,,4.0,,
1538,Shark Attack,Cocktail,Pitcher,Vodka,Vodka,,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,1 1/2 cup,,192.0,,
1539,Shark Attack,Cocktail,Pitcher,Lemonade,,sour,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,1 can,330.0,,,
1540,Shark Attack,Cocktail,Pitcher,Water,,water,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,3 cans,990.0,,,
1541,Sherry Eggnog,Ordinary Drink,Collins glass,Sherry Cream,,cream,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",2 oz cream,60.0,,,
1542,Sherry Eggnog,Ordinary Drink,Collins glass,Powdered Sugar,,sweet,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",1 tsp,,4.0,,
1543,Sherry Eggnog,Ordinary Drink,Collins glass,Egg,,egg,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",1 whole,45.0,,,
1544,Sherry Eggnog,Ordinary Drink,Collins glass,Milk,,cream,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",,,,,
1545,Sherry Eggnog,Ordinary Drink,Collins glass,Nutmeg,,spicy,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",,,,0.5,grated
1546,Sherry Flip,Ordinary Drink,Whiskey sour glass,Light Cream,,cream,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,2 tsp,,8.0,,
1547,Sherry Flip,Ordinary Drink,Whiskey sour glass,Powdered Sugar,,sweet,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,1 tsp,,4.0,,
1548,Sherry Flip,Ordinary Drink,Whiskey sour glass,Sherry Cream,,cream,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,1 1/2 oz cream,45.0,,,
1549,Sherry Flip,Ordinary Drink,Whiskey sour glass,Nutmeg,,spicy,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,,,,0.5,grated
1550,Sherry Flip,Ordinary Drink,Whiskey sour glass,Egg,,egg,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,1 whole,45.0,,,
1551,Shot-gun,Shot,Shot glass,Jack Daniels,Whisky,,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,1 part,30.0,,,
1552,Shot-gun,Shot,Shot glass,Wild Turkey,Whisky,,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,1 oz,30.0,,,
1553,Shot-gun,Shot,Shot glass,Jim Beam,Whisky,,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,1 part,30.0,,,
1554,Sidecar,Ordinary Drink,Cocktail glass,Cognac,Brandy,,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,2 oz,60.0,,,
1555,Sidecar,Ordinary Drink,Cocktail glass,Lemon Juice,,sour,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,1 oz,30.0,,,
1556,Sidecar,Ordinary Drink,Cocktail glass,Cointreau,Triple Sec,,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,1/2 oz,15.0,,,
1557,Sidecar Cocktail,Ordinary Drink,Cocktail glass,Triple Sec,Triple Sec,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1/2 oz,15.0,,,
1558,Sidecar Cocktail,Ordinary Drink,Cocktail glass,Lemon,,sour,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",juice of 1/4,11.25,,,
1559,Sidecar Cocktail,Ordinary Drink,Cocktail glass,Brandy,Brandy,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz,30.0,,,
1560,Singapore Sling,Ordinary Drink,Hurricane glass,Grenadine,,sweet,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,1/2 oz,15.0,,,
1561,Singapore Sling,Ordinary Drink,Hurricane glass,Cherry,,sweet,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,,,,1,berry
1562,Singapore Sling,Ordinary Drink,Hurricane glass,Carbonated Water,,water,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,,,,,
1563,Singapore Sling,Ordinary Drink,Hurricane glass,Cherry Brandy,Brandy,,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,1/2 oz,15.0,,,
1564,Singapore Sling,Ordinary Drink,Hurricane glass,Sweet And Sour,,sweet,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,2 oz,60.0,,,
1565,Singapore Sling,Ordinary Drink,Hurricane glass,Gin,Gin,,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,1 oz,30.0,,,
1566,Sloe Gin Cocktail,Ordinary Drink,Cocktail glass,Sloe Gin,Gin,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",2 oz,60.0,,,
1567,Sloe Gin Cocktail,Ordinary Drink,Cocktail glass,Dry Vermouth,Vermouth,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",1/4 tsp,,1.0,,
1568,Sloe Gin Cocktail,Ordinary Drink,Cocktail glass,Orange Bitters,Bitters,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",1 dash,1.0,,,
1569,Smut,Punch / Party Drink,Beer mug,Red Wine,Wine,,Throw it all together and serve real cold.,1/3 part,10.0,,,
1570,Smut,Punch / Party Drink,Beer mug,Orange Juice,,sweet,Throw it all together and serve real cold.,1/3 part,10.0,,,
1571,Smut,Punch / Party Drink,Beer mug,Peach Schnapps,Schnapps,,Throw it all together and serve real cold.,1 shot,25.0,,,
1572,Smut,Punch / Party Drink,Beer mug,Pepsi Cola,,sweet,Throw it all together and serve real cold.,1/3 part,10.0,,,
1573,Snake Bite (UK),Beer,Pint glass,Lager,Beer,,Pour ingredients into a pint glass. Drink. Fall over.,1/2 pint,236.5,,,
1574,Snake Bite (UK),Beer,Pint glass,White Or Red Wine,Wine,,Pour ingredients into a pint glass. Drink. Fall over.,1/2 pint sweet or dry,60.0,,,
1575,Snakebite and Black,Beer,Pint glass,Blackcurrant Squash,,sweet,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.,a little bit of,5.0,,,
1576,Snakebite and Black,Beer,Pint glass,Cider,Cider,,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.,1/2 pint,236.5,,,
1577,Snakebite and Black,Beer,Pint glass,Lager,Beer,,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.,1/2 pint,236.5,,,
1578,Snowball,Ordinary Drink,Highball glass,Lemon,,sour,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,1 slice,,,1,slice
1579,Snowball,Ordinary Drink,Highball glass,Lemonade Cold,,sour,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,8-10 oz cold,270.0,,,
1580,Snowball,Ordinary Drink,Highball glass,Advocaat,Creamy Liqueur,,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,1 1/2 oz,45.0,,,
1581,Sol Y Sombra,Ordinary Drink,Brandy snifter,Anisette,,spicy,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",1 1/2 oz,45.0,,,
1582,Sol Y Sombra,Ordinary Drink,Brandy snifter,Brandy,Brandy,,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",1 1/2 oz,45.0,,,
1583,Space Odyssey,Ordinary Drink,Highball glass,Grenadine,,sweet,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,,,,,
1584,Space Odyssey,Ordinary Drink,Highball glass,Malibu Rum,Rum,,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,1 shot,25.0,,,
1585,Space Odyssey,Ordinary Drink,Highball glass,Cherries,,sweet,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,,,,1,berry
1586,Space Odyssey,Ordinary Drink,Highball glass,Pineapple Juice,,sweet,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,1 shot,25.0,,,
1587,Space Odyssey,Ordinary Drink,Highball glass,151 Proof Rum,Rum,,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,1 shot bacardi,25.0,,,
1588,Space Odyssey,Ordinary Drink,Highball glass,Orange Juice,,sweet,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,,,,,
1589,Spritz,Ordinary Drink,Old-Fashioned glass,Soda Water,,sweet,"Build into glass over ice, garnish and serve.",splash,,,,
1590,Spritz,Ordinary Drink,Old-Fashioned glass,Prosecco,Prosecco,,"Build into glass over ice, garnish and serve.",6 cl,60.0,,,
1591,Spritz,Ordinary Drink,Old-Fashioned glass,Campari,Campari,,"Build into glass over ice, garnish and serve.",4 cl,40.0,,,
1592,Stinger,Ordinary Drink,Cocktail glass,Brandy,Brandy,,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",1 1/2 oz,45.0,,,
1593,Stinger,Ordinary Drink,Cocktail glass,White Creme De Menthe,Sweet Liqueur,,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",1/2 oz,15.0,,,
1594,Stone Sour,Ordinary Drink,Whiskey sour glass,Apricot Brandy,Brandy,,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",1 oz,30.0,,,
1595,Stone Sour,Ordinary Drink,Whiskey sour glass,Sweet And Sour,,sweet,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",1 oz,30.0,,,
1596,Stone Sour,Ordinary Drink,Whiskey sour glass,Orange Juice,,sweet,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",1 oz,30.0,,,
1597,Strawberry Daiquiri,Ordinary Drink,Cocktail glass,Light Rum,Rum,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 oz,30.0,,,
1598,Strawberry Daiquiri,Ordinary Drink,Cocktail glass,Strawberry Schnapps,Schnapps,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1/2 oz,15.0,,,
1599,Strawberry Daiquiri,Ordinary Drink,Cocktail glass,Strawberries,,sweet,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 oz,30.0,,,
1600,Strawberry Daiquiri,Ordinary Drink,Cocktail glass,Powdered Sugar,,sweet,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 tsp,,4.0,,
1601,Strawberry Daiquiri,Ordinary Drink,Cocktail glass,Lime Juice,,sour,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 oz,30.0,,,
1602,Strawberry Margarita,Ordinary Drink,Cocktail glass,Triple Sec,Triple Sec,,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",1/2 oz,15.0,,,
1603,Strawberry Margarita,Ordinary Drink,Cocktail glass,Strawberry Schnapps,Schnapps,,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",1/2 oz,15.0,,,
1604,Strawberry Margarita,Ordinary Drink,Cocktail glass,Tequila,Tequila,,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",1 oz,30.0,,,
1605,Strawberry Margarita,Ordinary Drink,Cocktail glass,Strawberries,,sweet,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",1 oz,30.0,,,
1606,Strawberry Margarita,Ordinary Drink,Cocktail glass,Lemon Juice,,sour,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",1 oz,30.0,,,
1607,Strawberry Margarita,Ordinary Drink,Cocktail glass,Salt,,salty,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",,,,0.36,around the rim
1608,Sunny Holiday Punch,Punch / Party Drink,Punch bowl,Berries,,sweet,Combine all ingredients in a punch bowl.,2 cups,474.0,,,
1609,Sunny Holiday Punch,Punch / Party Drink,Punch bowl,Orange Juice Frozen,,sweet,Combine all ingredients in a punch bowl.,6 oz frozen,180.0,,,
1610,Sunny Holiday Punch,Punch / Party Drink,Punch bowl,Pineapple Juice,,sweet,Combine all ingredients in a punch bowl.,46 oz chilled,1380.0,,,
1611,Sunny Holiday Punch,Punch / Party Drink,Punch bowl,Champagne,Champagne,,Combine all ingredients in a punch bowl.,1 bottle,750.0,,,
1612,Sunny Holiday Punch,Punch / Party Drink,Punch bowl,Club Soda,,sweet,Combine all ingredients in a punch bowl.,28 oz,840.0,,,
1613,Sunny Holiday Punch,Punch / Party Drink,Punch bowl,Lemon,,sour,Combine all ingredients in a punch bowl.,1,30.0,,,
1614,Surf City Lifesaver,Ordinary Drink,Highball glass,Gin,Gin,,Lots of ice and soda top up in tall glass with cherry and a grin.,2 parts,60.0,,,
1615,Surf City Lifesaver,Ordinary Drink,Highball glass,Ouzo,Ouzo,,Lots of ice and soda top up in tall glass with cherry and a grin.,1 part,30.0,,,
1616,Surf City Lifesaver,Ordinary Drink,Highball glass,Grand Marnier,Triple Sec,,Lots of ice and soda top up in tall glass with cherry and a grin.,1/2 part,15.0,,,
